news_headline,news_article,news_category
"Canada sets new 2030 carbon reduction target, to issue green bonds","Canada has said it plans to cut carbon emissions more aggressively and issue its first green bonds which would fund projects aimed at fighting climate change. It decided to set a new target to cut emissions by 2030 to 36% below 2005 levels, compared to its previous 30% goal. Canada has a net-zero emissions target of 2050. ",world
About 200 militants killed in airstrike in Syria: Russia,"Russia's military on Monday said that it has killed about 200 militants in Syria during an airstrike on a ""terrorist"" base in northeast of Palmyra. The air raid also destroyed 24 vehicles and about 500 kilograms of ammunition and explosives, it added. Russia began its military operations in Syria in 2015, backing President Bashar al-Assad's government against the rebels. ",world
Former US Vice President Walter Mondale dies aged 93,"Former US Vice President Walter Mondale has died aged 93, his family announced on Monday. Mondale served as Vice President under President Jimmy Carter from 1977-1981. Mondale, in 1984, became the first presidential nominee of a major US party to select a woman as his running mate. US President Joe Biden and First Lady Jill Biden condoled Mondale's death. ",world
France responsible for enabling genocide that killed 8 lakh: Rwanda,"France ""bears significant responsibility"" for enabling the Rwandan genocide that left 8 lakh people dead, a report by Rwanda said. France ""did nothing to stop"" the massacres in 1994 and in the years after the genocide tried to cover up its role and even offered protection to some perpetrators, it added. Groups of extremist Hutus had mainly killed ethnic Tutsis.",world
Pak urges Taliban to stay engaged in intra-Afghan peace process,"Pakistan has urged the Taliban to remain engaged in the intra-Afghan peace process after the armed group said it would not participate in summits about Afghanistan until all foreign forces leave. ""We will do whatever we can to convince them,"" it added. Pakistan had helped facilitate US-Taliban negotiations that resulted in the peace deal that was signed last year.",world
Telangana CM K Chandrashekar Rao tests positive for COVID-19,"Telangana Chief Minister K Chandrashekar Rao tested positive for COVID-19 on Monday. ""He has mild symptoms. He has been advised isolation and is staying at his farmhouse. A team of doctors is monitoring his health,"" said the state Chief Secretary. Telangana currently has 39,154 active COVID-19 cases and more than 1,800 people have died of the infection so far.",politics
Health Minister responds to Dr Manmohan Singh's suggestions on vaccination,"Health Minister Dr Harsh Vardhan on Monday responded to former PM Dr Manmohan Singh's letter to PM Narendra Modi on ramping up COVID-19 vaccination. Vardhan said, ""It's saddening that while you understand importance of vaccination...people...in state governments formed by your party don't share your view."" He alleged that Congress leaders 'publically shamed' the vaccines but took them in private.",politics
"Pic of Fadnavis' 22-yr-old nephew getting vaccine goes viral, people ask 'Is he 45+?'","Former Maharashtra CM Devendra Fadnavis has been criticised after a picture of his 22-year-old nephew Tanmay Fadnavis getting COVID-19 vaccine shot went viral on social media. Tanmay reportedly had shared a picture of himself getting the second dose on Monday. Several social media users asked if Tanmay was over 45. Notably, Devendra Fadnavis has also been accused of hoarding Remdesivir.",politics
Rajasthan Health Minister alleges discrimination in oxygen supply,"Rajasthan Health Minister Raghu Sharma on Monday accused the Centre of discrimination, claiming while 1,200 metric tonne oxygen was supplied to Gujarat, his state got only 124 metric tonne. ""Number of COVID-19 cases in Rajasthan and Gujarat are equal,"" he said. Rajasthan government has ordered the procurement of 1,500 oxygen condensers, which will provide oxygen to 3,000 patients, Sharma added.",politics
Ex-PM Manmohan Singh tests positive for COVID-19; admitted to AIIMS in Delhi,"Former Prime Minister Dr Manmohan Singh tested positive for coronavirus and was admitted to the Trauma Centre at the All India Institute of Medical Sciences (AIIMS) in Delhi on Monday. The 88-year-old senior Congress leader had on Sunday written a letter addressed to PM Narendra Modi, offering suggestions on how to ramp up COVID-19 vaccination in India.",politics
I will put coronavirus in Fadnavis' mouth if I find it: Sena MLA over Remdesivir row,"Shiv Sena MLA Sanjay Gaikwad has said if he had found coronavirus, he would have put it into the mouth of BJP leader Devendra Fadnavis. This comes after the former Chief Minister objected to Mumbai Police's interrogation of a pharmaceutical company's top executive over alleged stocking of Remdesivir drug. BJP workers staged protests and burnt Gaikwad's effigies after his remarks.",politics
See Maharashtra's situation instead of accusing us: BJP to Priyanka,"Maharashtra BJP chief spokesperson Keshav Upadhye on Monday criticised Priyanka Gandhi Vadra for accusing former state Chief Minister Devendra Fadnavis of allegedly hoarding Remdesivir. He said, ""There is a crisis-like situation in Maharashtra. Shortage of beds, ventilators and oxygen have led people to die on the streets. Why cannot you [Priyanka] see that instead of accusing BJP.""


",politics
Fund manufacturers of 2 India-made vaccines: Chidambaram to govt,"Senior Congress leader P Chidambaram on Monday said that the nation is ""gratified"" to know that suggestions by former PM Manmohan Singh on the COVID-19 situation were accepted by the Centre. He also suggested that the government provide funds to the manufacturers of the two India-made vaccines and urgently invoke the provision of compulsory licensing the vaccines.",politics
K'taka govt planning to postpone local body polls due to COVID-19,"The Karnataka government is planning to postpone Zilla Panchayat and Taluk Panchayat elections due to the surge in COVID-19 cases, said state Minister for Rural Development and Panchayat Raj, K S Eshwarappa. The issue will be discussed by the State Cabinet and the decision would be conveyed to the Karnataka State Election Commission, Eshwarappa stated. ",politics
Darekar asked FDA to buy Remdesivir from Bruck Pharma: Fadnavis,"BJP leader Devendra Fadnavis, when asked if BJP's intention had been to buy Remdesvir and supply it directly to patients, said, ""No, in fact [BJP leader] Pravin Darekar asked FDA (Food and Drug Administration) to purchase the stock from Bruck Pharma."" This comes after Fadnavis objected to Mumbai Police's interrogation of the pharmaceutical company's director over alleged stocking of Remdesivir.",politics
"No big rallies in Bengal, only small meetings with 500 people: BJP","In view of the rising COVID-19 cases, the BJP on Monday announced that it will not hold any big public meetings in West Bengal. The BJP in its statement said that Prime Minister Narendra Modi and other leaders will address small public meetings with a maximum of 500 people following COVID-19 guidelines. ",politics
Sack Nawab Malik over Remdesivir claims: BJP to Maha Governor,"Maharashtra BJP President Chandrakant Patil alleged that NCP leader Nawab Malik was running a ""malicious campaign"" against the Centre. Patil wrote to Governor Bhagat Singh Koshyari, seeking that Malik be sacked. ""Malik has said Centre has warned companies not to supply Remdesivir to Maharashtra. But he has not provided any documentary proof to substantiate these serious charges,"" Patil wrote. ",politics
Request EC with folded hands to merge remaining poll phases: Mamata,"West Bengal CM Mamata Banerjee requested the Election Commission (EC), ""with folded hands"", to hold the remaining three phases of the Assembly polls on a single day or over two days. ""Please don't play with the lives of people,"" Banerjee added. Her statement comes a day after she demanded PM Narendra Modi's resignation for mishandling the COVID-19 situation.",politics
SC rejects plea for 100% matching of VVPAT slips with EVMs count,"The Supreme Court on Monday dismissed a plea seeking 100% matching of VVPAT slips with EVMs count in Assembly elections. The court said, ""We're not going to interfere in the middle of election process."" In April 2019, the court directed EC to increase random matching of VVPAT slips with EVMs to five booths per assembly segment in Lok Sabha polls. ",politics
BJP trying to put Maha govt in trouble over COVID-19 surge: Sena,"Shiv Sena has criticised BJP in its mouthpiece 'Saamana', stating that efforts are being made to put the Maharashtra government in trouble over the spike in COVID-19 cases. Shiv Sena added that BJP's ""dirty politics"" was exposed when Remdesivir stocks were being ""hoarded by leaders"" and when former CM Devendra Fadnavis was trying to ""protect the company owner"". ",politics
Crime against humanity: Priyanka accuses Fadnavis of hoarding Remdesivir,"Congress General Secretary Priyanka Gandhi Vadra criticised former Maharashtra CM Devendra Fadnavis over the alleged hoarding of Remdesivir injections. ""The act of hoarding by the BJP leader who was once in a responsible position is a crime against humanity,"" Priyanka tweeted. She also shared a video in which Fadnavis and others were seen arguing with police officers.",politics
BJD won't hold any public rallies for Pipili bypoll: Odisha CM,"In view of the rising coronavirus cases, Odisha Chief Minister Naveen Patnaik on Monday said that the ruling BJD has decided not to hold any public rallies or campaign meetings for the Pipili bypoll. ""I would earnestly appeal to political parties and EC to reconsider both the duration and method of campaigning,"" added the Chief Minister.",politics
Bengal shouldn't be party to national degeneration: Amartya Sen,"Nobel laureate Amartya Sen has said that Bengal should not be a party to the ""national degeneration"". ""If Bengal ends up being governed by central rulers...it will strengthen the concentration of power in India in hands of those whose conception of minority rights is limited and whose record on economic policy and social justice seems seriously defective,"" he said. ",politics
Mulayam Singh didn't vote in UP Panchayat polls: Nephew Dharmendra,"Samajwadi Party founder Mulayam Singh Yadav did not cast his vote in Uttar Pradesh Panchayat elections on Monday. This is the first time that the 81-year old didn't vote. ""We requested Netaji (Mulayam Singh Yadav) not to cast his vote this time for the Panchayat elections in the wake of COVID-19 pandemic,"" said Dharmendra Yadav, nephew of Mulayam Singh Yadav. ",politics
TMC speaking in different voices on leader under probe: Amit Shah,"Union Home Minister Amit Shah on Monday said TMC is speaking in ""different voices"" on party leader Vinay Mishra, who is being probed by CBI and ED in connection with cases related to cattle smuggling and illegal coal mining. Shah said while CM Mamata Banerjee denied TMC's involvement in the case, TMC MP Abhishek Banerjee said that he's being framed. ",politics
